unicode dec	unicode hex	character	name
1025	0401	Ё	uni0401
1026	0402	Ђ	uni0402
1028	0404	Є	uni0404
1030	0406	І	uni0406
1031	0407	Ї	uni0407
1032	0408	Ј	uni0408
1033	0409	Љ	uni0409
1034	040A	Њ	uni040A
1035	040B	Ћ	uni040B
1038	040E	Ў	uni040E
1039	040F	Џ	uni040F
1040	0410	А	uni0410
1041	0411	Б	uni0411
1042	0412	В	uni0412
1043	0413	Г	uni0413
1044	0414	Д	uni0414
1045	0415	Е	uni0415
1046	0416	Ж	uni0416
1047	0417	З	uni0417
1048	0418	И	uni0418
1049	0419	Й	uni0419
1050	041A	К	uni041A
1051	041B	Л	uni041B
1052	041C	М	uni041C
1053	041D	Н	uni041D
1054	041E	О	uni041E
1055	041F	П	uni041F
1056	0420	Р	uni0420
1057	0421	С	uni0421
1058	0422	Т	uni0422
1059	0423	У	uni0423
1060	0424	Ф	uni0424
1061	0425	Х	uni0425
1062	0426	Ц	uni0426
1063	0427	Ч	uni0427
1064	0428	Ш	uni0428
1065	0429	Щ	uni0429
1066	042A	Ъ	uni042A
1067	042B	Ы	uni042B
1068	042C	Ь	uni042C
1069	042D	Э	uni042D
1070	042E	Ю	uni042E
1071	042F	Я	uni042F
1072	0430	а	uni0430
1073	0431	б	uni0431
1074	0432	в	uni0432
1075	0433	г	uni0433
1076	0434	д	uni0434
1077	0435	е	uni0435
1078	0436	ж	uni0436
1079	0437	з	uni0437
1080	0438	и	uni0438
1081	0439	й	uni0439
1082	043A	к	uni043A
1083	043B	л	uni043B
1084	043C	м	uni043C
1085	043D	н	uni043D
1086	043E	о	uni043E
1087	043F	п	uni043F
1088	0440	р	uni0440
1089	0441	с	uni0441
1090	0442	т	uni0442
1091	0443	у	uni0443
1092	0444	ф	uni0444
1093	0445	х	uni0445
1094	0446	ц	uni0446
1095	0447	ч	uni0447
1096	0448	ш	uni0448
1097	0449	щ	uni0449
1098	044A	ъ	uni044A
1099	044B	ы	uni044B
1100	044C	ь	uni044C
1101	044D	э	uni044D
1102	044E	ю	uni044E
1103	044F	я	uni044F
1105	0451	ё	uni0451
1106	0452	ђ	uni0452
1108	0454	є	uni0454
1110	0456	і	uni0456
1111	0457	ї	uni0457
1112	0458	ј	uni0458
1113	0459	љ	uni0459
1114	045A	њ	uni045A
1115	045B	ћ	uni045B
1118	045E	ў	uni045E
1119	045F	џ	uni045F
1168	0490	Ґ	uni0490
1169	0491	ґ	uni0491
