unicode dec	unicode hex	character	name
1025	0401	Ё	Ё CY
1026	0402	Ђ	Ђ SR/MD
1028	0404	Є	Є UK
1030	0406	І	І UK
1031	0407	Ї	Ї UK
1032	0408	Ј	Ј SR/MD
1033	0409	Љ	Љ SR/MD
1034	040A	Њ	Њ SR/MD
1035	040B	Ћ	Ћ SR/MD
1038	040E	Ў	Ў BE
1039	040F	Џ	Џ SR/MD
1040	0410	А	А CY
1041	0411	Б	Б CY
1042	0412	В	В CY
1043	0413	Г	Г CY
1044	0414	Д	Д CY
1045	0415	Е	Е CY
1046	0416	Ж	Ж CY
1047	0417	З	З CY
1048	0418	И	И CY
1049	0419	Й	Й CY
1050	041A	К	К CY
1051	041B	Л	Л CY
1052	041C	М	М CY
1053	041D	Н	Н CY
1054	041E	О	О CY
1055	041F	П	П CY
1056	0420	Р	Р CY
1057	0421	С	С CY
1058	0422	Т	Т CY
1059	0423	У	У CY
1060	0424	Ф	Ф CY
1061	0425	Х	Х CY
1062	0426	Ц	Ц CY
1063	0427	Ч	Ч CY
1064	0428	Ш	Ш CY
1065	0429	Щ	Щ CY
1066	042A	Ъ	Ъ CY
1067	042B	Ы	Ы CY
1068	042C	Ь	Ь CY
1069	042D	Э	Э CY
1070	042E	Ю	Ю CY
1071	042F	Я	Я CY
1072	0430	а	а CY
1073	0431	б	б CY
1074	0432	в	в CY
1075	0433	г	г CY
1076	0434	д	д CY
1077	0435	е	е CY
1078	0436	ж	ж CY
1079	0437	з	з CY
1080	0438	и	и CY
1081	0439	й	й CY
1082	043A	к	к CY
1083	043B	л	л CY
1084	043C	м	м CY
1085	043D	н	н CY
1086	043E	о	о CY
1087	043F	п	п CY
1088	0440	р	р CY
1089	0441	с	с CY
1090	0442	т	т CY
1091	0443	у	у CY
1092	0444	ф	ф CY
1093	0445	х	х CY
1094	0446	ц	ц CY
1095	0447	ч	ч CY
1096	0448	ш	ш CY
1097	0449	щ	щ CY
1098	044A	ъ	ъ CY
1099	044B	ы	ы CY
1100	044C	ь	ь CY
1101	044D	э	э CY
1102	044E	ю	ю CY
1103	044F	я	я CY
1105	0451	ё	ё CY
1106	0452	ђ	ђ SR/MD
1108	0454	є	є UK
1110	0456	і	і UK
1111	0457	ї	ї UK
1112	0458	ј	ј SR/MD
1113	0459	љ	љ SR/MD
1114	045A	њ	њ SR/MD
1115	045B	ћ	ћ SR/MD
1118	045E	ў	ў BE
1119	045F	џ	џ SR/MD
1168	0490	Ґ	Ґ UK
1169	0491	ґ	ґ UK
